EPISODE_NUM	EPISODE_NAME	AUTHOR	START_YEAR	END_YEAR	START_CENTURY	END_CENTURY	MAIN_COUNTRY	MAIN_COUNTRY_ALPHA2	MAIN_CITY	COORD_LAT	COORD_LONG	COORD_ID	URL	DESCRIPTION	TAGS	IMG_URL
48	 George Ansons katastrophale Expedition – und ihre Folgen	Richard	1740	1740	18	18							https://www.zeitsprung.fm/podcast/zs48/	Wir springen ins Jahr 1740 und sprechen über eine Schiffsexpedition, die in die Geschichte als die größte medizinische Katastrophe auf See eingehen sollte.	Heeresgeschichte,Krankheit,Krieg,Neuzeit,Skorbut,Wissenschaft	
49	 Der »Dig Tree« und die erste Durchquerung Australiens	Daniel	1860	1860	19	19	Australia	AU					https://www.zeitsprung.fm/podcast/zs49/	Wir begeben uns nach Australien: 1860 bricht eine Expedition australischer Einwanderer auf, um zum ersten Mal den Kontinent von Süden nach Norden zu durchqueren. Sie starten in Melbourne zum etwa 3.000 Kilometer entfernten Golf von Carpentaria. Doch die Expedition endet tragisch – unter einem Eucalyptus-Baum.	Australien,Kolonialisierung,Kolonialismus,Neuere Geschichte	
50	 Ossian, ein altgälisches Epos wie keines davor	Richard	1500	1500	16	18							https://www.zeitsprung.fm/podcast/zs50/	Wir springen ins 18. Jahrhundert und nehmen ein Epos unter die Lupe, das fast 1500 Jahre nach seiner Entstehung zum ersten Mal in die englische Sprache übersetzt wird. In Windeseile findet es Fans, von Napoleon über Jefferson bis Goethe, aber es gibt auch Stimmen, die so Einiges an dem Machwerk auszusetzen haben. Und zwar aus gutem Grund, wie sich herausstellen wird.	Epos,Fälschung,Literaturgeschichte,McPherson,Napoleon,Neuzeit,Schottland	
51	 Eine kurze Geschichte der Rhythmologie und der Erforschung des Herzens	Daniel			5	20	China	CN					https://www.zeitsprung.fm/podcast/zs51/	Wir sprechen in diesem Zeitsprung über die Geschichte der Rhythmologie und der Pulslehre. Wir beginnen in China im 5. Jahrhundert vor Christus und hangeln uns vor bis zur Erfindung des Elektrokardiogramms (EKG) Anfang des 20. Jahrhunderts. 	Herz,Medizingeschichte,Rhythmus	
52		Richard					USA	Unknown code					https://www.zeitsprung.fm/podcast/zs52/	Mit einer die Welt umrundenden Dame haben wir uns schon in einer früheren Episode beschäftigt. Diesmal legen wir noch einen drauf: Umrundet wird die Welt in dieser Episode zwar auch wieder von einer Frau, diesmal aber auf dem Fahrrad. Wie lange sie dafür brauchte, warum sie das tat und welche sozialkulturellen Entwicklungen ihre Reise mit sich zog, darüber sprechen wir in diesem Zeitsprung.	Boston,Fahrrad,Frauen,Neuzeit,New York City,USA,Weltreise	
53	 Ein Verrat und ein langer Strich auf der Berliner Mauer	Daniel	1980	1980	20	20							https://www.zeitsprung.fm/podcast/zs53/	Wir springen in die 1980er Jahre und beschäftigen uns zum ersten Mal mit der Geschichte der DDR. Dazu haben wir uns diesmal wieder einen Gast eingeladen: Martin Fischer, der den wunderbaren Podcast “Staatsbürgerkunde. Vom Leben in der DDR” macht, erzählt von einem folgenschweren Verrat unter zwei Brüdern und einer außergewöhnlichen Kunstaktion an der Berliner Mauer.	Berliner Mauer,DDR,Kunst,Zeitgeschichte	
54	 Die erste Rektorin einer deutschen Universität	Daniel	1965	2016	20	21							https://www.zeitsprung.fm/podcast/zs54/	Wir beschäftigen uns wieder mit der deutschen Nachkriegsgeschichte: In dieser Episode sprechen wir über das Leben von Lieselott Herforth. Die Physikerin und Politikerin war zwischen 1965 und 1968 die erste deutsche Universitätsrektorin. Ihren 100. Geburtstag, den sie im September 2016 gefeiert hätte, haben wir mit der Folge knapp verpasst.	DDR,Physik,Rektorin,Universität,Universitätsgeschichte,Wissenschaftsgeschichte,Zeitgeschichte	
55	 Der letzte Kammerdiener des alten Kaisers	Daniel					Austria	AT					https://www.zeitsprung.fm/podcast/zs55/	Am 21. November jährt sich der Todestag Franz Josephs I. zum 100. mal. Aus diesem Grund springen wir also in diesem Zeitsprung 100 Jahre und mehr zurück, und sprechen über Franz Joseph. Allerdings aus einer ganz speziellen Sicht, nämlich jener seines letzten Kammerdieners Eugen Ketterl.	1. Weltkrieg,Franz Joseph,Habsburger,Hof,Kaiser,Kammerdiener,Neuzeit,Österreich,Wien	
56	 Piggly Wiggly und die Geschichte des Supermarkts	Daniel	1916	1916	20	20	USA	Unknown code					https://www.zeitsprung.fm/podcast/zs56/	Wir springen wieder 100 Jahre zurück und beschäftigen uns diesmal mit den ersten Selbstbedienungssupermärkten der Welt. Der Lebensmittelhändler Clarence Saunders eröffnete 1916 in Memphis, Tennessee, ein kleines Geschäft unter dem Namen Piggly Wiggly. Er stellte seinen Kunden als erster Einkaufskörbe zur Verfügung und etablierte eine Technik, die uns heute selbstverständlich erscheint: Drehkreuze bzw. Vereinzelungsanlagen.	Drehkreuz,Neueste Geschichte,Piggly Wiggly,Selbstbedienung,Supermarkt,USA	
57	 Von Grabtüchern, Knochen und wieder mal Venedig	Richard											https://www.zeitsprung.fm/podcast/zs57/	Wir springen diese Woche wieder sehr weit zurück und sprechen über Reliquien, die Heiligen der Katholischen Kirche und einen nicht ganz unbemerkenswerten Diebstahl.	Alexandria,Heilige,Kirche,Reliquien,Venedig	
58	 Londoner Kutschenstreit	Daniel	1661	1661	17	17	France, Spain	ES, FR					https://www.zeitsprung.fm/podcast/zs58/	London, 30. September 1661: Ein Streit darüber, ob die französische Delegation oder die spanische Delegation zur Begrüßung des neuen schwedischen Botschafters mit den Kutschen vorneweg fahren darf, eskaliert – und fordert mehrere Todesopfer. Der Londoner Kutschenstreit ist aber nur der Höhepunkt einer viel längeren Auseinandersetzung. Gemeinsam mit Elisabeth, die zum Thema Gesandtschaftszeremoniell forscht und die vor einigen Wochen den History Slam in Hamburg gewonnen hat, schauen wir uns die Hintergründe des Streits an. 	Diplomatie,Frankreich,Frühe Neuzeit,Gesandtschaftszeremoniell,London,Ludwig XIV.,Spanien	
59	 The Lost Colony	Richard	1580	1580	16	16	England, USA	Unknown code					https://www.zeitsprung.fm/podcast/zs59/	Wir springen in diesem Zeitsprung ins 16. Jahrhundert und beleuchten die ersten Versuche Englands, die neue Welt zu kolonisieren. Finanziert von Sir Walter Raleigh, wird in den 1580er Jahren versucht, neben den Spaniern an der Ostküste der heutigen USA Fuß zu fassen. Wir sprechen darüber, warum diese Versuche weitgehend erfolglos blieben und schlussendlich in einem bis heute ungelösten Mysterium endeten.	Francis Drake,Frühe Neuzeit,Kolonialisierung,Nordamerika,Pilgerväter,Roanoke,USA	
60	 Wie das Essengehen erfunden wurde	Daniel	1800	1800	19	19							https://www.zeitsprung.fm/podcast/zs60/	Diesmal geht es ums Essen! Wir springen in die Zeit der Französischen Revolution und sprechen über die Entstehung von Restaurants und das Speisen à la carte, das sich um 1800 durchsetzt. 	Essen,Französische Revolution,Neuere Geschichte,Restaurant	
61		Richard			17	17	Netherlands	NL					https://www.zeitsprung.fm/podcast/zs61/	Die niederländische Tulpenmanie gilt in der öffentlichen Wahrnehmung als die erste (geplatzte) Spekulationsblase. Wir springen zurück ins beginnende 17. Jahrhundert und sprechen darüber, wie es so weit kam und warum das alles so gar nicht stimmt.	Blumen,Goldenes Zeitalter,Handel,Neuzeit,Niederlande,Tulpen,Wirtschaft	
62	 Eine kurze Geschichte der Rollschuhe und des Rollschuhfahrens	Daniel	1863	1940	19	20	USA	Unknown code					https://www.zeitsprung.fm/podcast/zs62/	Wir springen zurück in die Mitte des 19. Jahrhunderts, wo sich eine neue Art der Freizeitbeschäftigung etabliert: 1863 patentiert James Leonard Plimpton einen Rollschuh, nachdem er im Sommer das Schlittschuhfahren im New Yorker Central Park vermisst. Zunächst ein Vergnügen für die reiche Oberschicht, wird das Rollschuhfahren bis in die 1940er Jahre, neben Bowling, zur beliebtesten Freizeitbeschäftigung in den USA. 	Moderne,Neuere Geschichte,Rollschuhe,USA	
63	 Konstantin und die Janitscharen	Richard			15	15							https://www.zeitsprung.fm/podcast/zs63/	Wir springen ins 15. Jahrhundert und direkt in die Mitte des osmanischen Heers. Gefürchtet über Jahrhunderte, wurde ihre Eliteeinheit, die Janitscharen, ursprünglich hauptsächlich aus christlichen Jungen rekrutiert. Wir sprechen über einen von ihnen, Konstantin von Ostrovitza, und was die Janitscharen so besonders machte (und warum sie schlussendlich dann doch aufhörten zu existieren).	Eliteeinheit,Heeresgeschichte,Janitscharen,Knabenlese,Krieg,Mittelalter,Neuzeit,Osmanen,Waffen	
64	 Paul Dirac und die Schönheit der Mathematik	Daniel	1902	1984	20	20							https://www.zeitsprung.fm/podcast/zs64/	Wir beschäftigen uns in dieser Episode mit der Geschichte der Quantenphysik und sprechen über Paul Dirac (1902–1984), der in nur 8 Jahren so ziemlich alles erreichte, was ein Physiker so erreichen kann: Er wurde mit 27 Jahren zum Fellow der Royal Society gewählt, hatte mit “The Principles of Quantum Mechanics” ein Werk verfasst, das heute noch als Standardwerk gilt und von dem es heißt, dass es Einstein selbst in den Ferien bei sich trug und mit 29 bekam er den Lucasischen Lehrstuhl, den bereits Isaac Newton innehatte. Und 1933 erhielt er gemeinsam mit Erwin Schrödinger den Physik‐Nobelpreis für “die Entdeckung neuer und wichtiger Versionen der Atomtheorie”.	Paul Dirac,Physik,Quantenmechanik,Wissenschaft,Wissenschaftsgeschichte,Zeitgeschichte	
65	 Die Erfindung des diamantenen Verlobungsrings	Richard			19	20	South Africa	ZA					https://www.zeitsprung.fm/podcast/zs65/	In dieser Episode springen wir zunächst ans Ende des 19. Jahrhunderts: in Südafrika wurden soeben riesige Diamantenvorkommen entdeckt und die aus diesem Grund geschaffene De Beers Gruppe übernimmt schnell die Vorherrschaft was weltweiten Abbau und Handel angeht. Und Anfang des 20. Jahrhunderts beginnen sie mit einer Werbekampagne, deren Wirkung bei Verlobungen auf der ganzen Welt auch heute noch bemerkbar ist.	Diamanten,Handel,Kolonialismus,Marketing,Neuzeit,Schmuck,Südafrika,Verlobung,Werbung,Wirtschaft	
66	 Der Aufstieg Hamburgs – Fake it 'til you make it	Daniel											https://www.zeitsprung.fm/podcast/zs66/	Wir springen etwas weiter zurück, in das 8./9. Jahrhundert, und beschäftigen uns mit den Anfängen der Hamburger Geschichte. Richard lernt den Hamburger Gruß und wir sprechen über zwei Urkunden-Fälschungen, die den Aufstieg Hamburgs in Nordelbien, am Rande des karolingischen Frankenreiches, erst ermöglicht haben. Vielen Dank an das Hafenradio, die uns einen Ausschnitt aus ihrer Episode zum “Mythos Hammaburg” zur Verfügung gestellt haben. 	Hamburg,Karolinger,Mittelalter	
67	 Palladio, der erfolgreichste Architekt aller Zeiten	Richard			16	16	Italy, England, USA	Unknown code, IT					https://www.zeitsprung.fm/podcast/zs67/	In dieser Zeitsprung-Episode springen wir ins 16. Jahrhundert. Dort begründet, ausgehend vom italienischen Vicenza, ein Steinmetz seinen Ruf als erster Berufsarchitekt der Welt. Was er wahrscheinlich nicht zu hoffen wagte: seine Pläne sind bis heute Grundlage zahlreicher Bauten, viele davon sind weltberühmt. Wir sprechen darüber, wie es dazu kam.	Architektur,Architekturgeschichte,England,Frühe Neuzeit,Inigo Jones,Italien,Kolonialstil,Mittelalter,Palladio,Renaissance,USA	
68	 Eine ganz kleine Geschichte der Mikroskopie	Daniel					Netherlands	NL					https://www.zeitsprung.fm/podcast/zs68/	Wir begrüßen in dieser Folge mal wieder einen Gast, der uns eine Geschichte mitgebracht hat: André Lampe hat in seiner Doktorarbeit ein Mikroskop gebaut und sich im Zuge seiner Recherchen auch mit der Geschichte der Mikroskopie beschäftigt. Wir sprechen über Antoni van Leeuwenhoek, der zwar eigentlich Geschäftsmann war, aber erstaunlich präzise Mikroskope gebaut hat – und der an einer Krankheit gestorben ist, die nach ihm benannt wurde.	Frühe Neuzeit,Mikroskop,Niederlande,Technik,Wissenschaftsgeschichte	
69	 Die Boston Melasse Katastrophe	Richard			20	20							https://www.zeitsprung.fm/podcast/zs69/	Wir springen in dieser Episode ins Boston des frühen 20. Jahrhunderts. Dort ereignet sich eine Katastrophe, die auf den ersten Blick amüsant wirken mag, auf den zweiten Blick allerdings dann schon nicht mehr so sehr. Wir sprechen darüber, wie es zu der Katastrophe kommen konnte, und was danach geschah.	Boston,Katastrophen,Melasse,Zeitgeschichte	
70	 Die Würzburger Lügensteine	Daniel	1725	1725	18	18							https://www.zeitsprung.fm/podcast/zs70/	Wir springen in die Frühe Neuzeit ins Jahr 1725/26: In Würzburg sammelt ein angesehener Mediziner und Professor zahlreiche Fossilien, die sich bald als plumpe Fälschungen herausstellten. Doch die berühmteste Fälschungsgeschichte in der Geschichte der Paläontologie hat noch einige Ungereimtheiten zu bieten. Wie konnte Johann Beringer auf die vermeintlichen Fossilien hereinfallen?		
71	 Wie die Kartoffel nach Europa kam (und alles veränderte)	Richard			31	31							https://www.zeitsprung.fm/podcast/zs71/	Wir springen in diesem Zeitsprung anfangs bis 3000 v.d.Zw. zurück, dann aber recht schnell in die europäische Neuzeit. Wir sprechen über die Kartoffel und wie diese, nicht zuletzt durch einen der bekanntesten Herrscher der Neuzeit, zum wohl wichtigsten Nahrungsmittel Europas wurde.		
72	 Phantominseln	Daniel											https://www.zeitsprung.fm/podcast/zs72/	Wir sprechen in dieser Woche über etwas, das es nicht gibt: Phantominseln. Inseln, die in diversen Karten verzeichnet waren, aber nie existiert haben. Manche davon sind eher skurril, andere sind Sehnsuchtsorte oder auch einfach nur Hochstapeleien oder Kopierfehler. Aber hinter allen Inseln stecken erzählenswerte Geschichten.		
73	 Ludwig XIV. und seine pikante Operation	Richard			17	17							https://www.zeitsprung.fm/podcast/zs73/	Wir springen ins 17. Jahrhundert, das in Europa v.a. von einer Person dominiert wird: Ludwig XIV., französischer Sonnenkönig. Bekannt für seinen autokratischen Führungsstil und die bleibenden kulturellen Einflüsse, ist auch seine Krankengeschichte larger than life. Wir sprechen speziell über eine Operation, die zwar recht pikant, aber auch bahnbrechend war. Und zum ersten Mal können wir auch ruhigen Gewissens behaupten, dass diese Folge nichts für schwache Nerven (oder Mägen) ist.	Ludwig XIV.,Operation,Sonnenkönig	
74	 Die Bonnot-Bande und die Erfindung des Fluchtautos	Daniel	1870	1912	19	20							https://www.zeitsprung.fm/podcast/zs74/	Wir springen etwa 100 Jahre zurück, zum Höhepunkt der anarchistischen Bewegung in Europa: Durch zahlreiche Anschläge, Attentate und Überfälle verbreiten Anarchisten seit den 1870er Jahren Angst und Schrecken. Wir beschäftigen uns diesmal mit einer anarchistischen Gruppe, der Bonnot-Bande, die für einige Monate 1911/1912 Paris in Atem hält und zum ersten Mal ein Auto als Fluchtfahrzeug verwendet. 	Anarchismus,Bonnot,Fluchtauto,Paris	
75	 Sobhuza II., König von Swaziland	Richard			19	20	South Africa	ZA					https://www.zeitsprung.fm/podcast/zs75/	Wir springen in diesem Zeitsprung zuerst in die Mitte des 19. Jahrhunderts, um dann einige Jahrzehnte bis in die 80er Jahre des 20. Jahrhunderts zu wandern. Geographisch erstmals für längere Zeit auf dem afrikanischen Kontinent, sprechen wir über Sobhuza II. von Swaziland, den Monarchen mit der längsten (belegten) Amtszeit.	Monarchie,Südafrika,Swaziland	
76	 Holdouts – Japans vergessene Soldaten	Daniel	1970	1970	20	20	Japan	JP					https://www.zeitsprung.fm/podcast/zs76/	Mit dem Ende des 2. Weltkriegs ziehen sich etliche japanische Soldaten in den Dschungel oder auf Inseln zurück. Statt nach Japan zurückzukehren, überleben einige von ihnen dort bis Mitte der 1970er Jahre – einsam und ohne jegliche medizinische Versorgung. Die letzten Holdouts kehren erst mehr als 25 Jahre nach Kriegsende zurück. Wie ist das möglich, was waren ihre Motive und inwiefern handelt es sich um ein spezifisch japanisches Phänomen?	2. Weltkrieg,Holdout,Japan	
77	 Der Augsburger Kalenderstreit: Folgen eines tatsächlichen Zeitsprungs	Richard	1582	1582	16	16							https://www.zeitsprung.fm/podcast/zs77/	Im Jahr 1582 geschah etwas Außergewöhnliches: Menschen in weiten Teilen Europas legten sich am 4. Oktober schlafen und wachten am 15. Oktober wieder auf. Wir sprechen darüber, wie es dazu kam und warum dieser tatsächliche Zeitsprung die deutsche Stadt Augsburg beinahe im Bürgerkrieg versinken ließ.	Augsburg,Augsburger Kalenderstreit,Gregorianischer Kalender,Kalender	
78	 Eine kurze Geschichte der Sommerzeit	Daniel											https://www.zeitsprung.fm/podcast/zs78/	Jedes Jahr im März stellen wir die Uhr um eine Stunde vor – und im Oktober wieder zurück. Aber die Sommerzeit gibt es nicht schon immer. In dieser Episode sprechen wir über die erstmalige Einführung der Sommerzeit und wie es dazu kam, dass sich die Umstellung der Uhren in vielen Ländern der Welt inzwischen durchgesetzt hat. 	1. Weltkrieg,Sommerzeit,Zeitumstellung	
79	 Das Rolandslied – über Heldentaten, Karl den Großen und Kreuzzugspropaganda	Richard			12	12							https://www.zeitsprung.fm/podcast/zs79/	Wir springen weit zurück ins Hochmittelalter: Im beginnenden 12. Jahrhundert wird mit dem “Chanson de Roland” ein Epos verfasst, das als eines der frühesten Exemplare der sogenannten Chanson de Geste – des Heldenpos – gilt. Wir sprechen über die eigentlichen historischen Hintergründe, die Propagandawirkung des Werkes und was auch heute noch vom Ruhm des Rolands zeugt.	Karl der Große,Roland,Rolandslied	
80	 Eine Kirche auf dem Dachboden – Reformation und das Goldene Zeitalter in den Niederlanden	Daniel	1661	1888	17	19	Netherlands	NL					https://www.zeitsprung.fm/podcast/zs80/	Wir springen nach Amsterdam: 1661 beginnt dort der Katholik Jan Hartmann, eine Kirche in sein Grachtenhaus zu bauen. Es entstand eine beeindruckende Kirche, die bis zum Ende des 19. Jahrhunderts genutzt wurde, ehe sie 1888 zu einem Museum wurde, das noch heute besucht werden kann: das Museum Ons’ Lieve Heer op Solder.	Alteration,Goldenes Zeitalter,Holland,Kirche,Niederlande,Reformation	
81	 Eine kurze Geschichte des Essbestecks (aber ohne Löffel)	Richard											https://www.zeitsprung.fm/podcast/zs81/	Wir springen diesmal recht kreuz und quer durch die Geschichte, auf der Suche nach den Ursprüngen unseres Essbestecks. Während das Messer zum Beispiel in der ein oder anderen Form schon lange seinen Platz am Tisch hat, dauerte es einige Zeit, bis wir uns an die Gabel gewöhnt hatten.	Besteck,Essen,gabel,messer,staebchen	
82	 Victor Gruen und die Erfindung des Einkaufszentrums	Daniel	1970	1970	20	20							https://www.zeitsprung.fm/podcast/zs82/	Wir beschäftigen uns in dieser Folge mit einem der erfolgreichsten Architekten des 20. Jahrhunderts und seiner bewegten Biographie: Victor Gruen. Er gilt nicht nur als Erfinder der modernen Einkaufszentren, sondern auch als Pionier der innerstädtischen Fußgängerzonen. Unglücklich über die fortschreitende Kommerzialisierung und die Entwicklung der “Supereinkaufsmaschinen” versucht er in den 1970er-Jahren die Städte vom “Terror der Automobile” zu befreien.	Einkaufszentrum,Konsumgeschichte,Shopping Mall,Victor Gruen	
83	 100 Jahre vor der Reformation – Jan Hus und die Hussitenkriege	Richard											https://www.zeitsprung.fm/podcast/zs83/	Dieses Jahr jährt sich die Reformation zum 500. Mal.  Allerdings gab es schon vorher Anstrengungen, die katholische Kirche zu reformieren. Eine davon war jene, die vom böhmischen Reformator Jan Hus ausging und einen jahrzehntelangen Konflikt nach sich zog.	Böhmen,Hussiten,Hussitenkriege,Jan Hus,Jan Žižka,Mittelalter,Tschechien	
84	 Eine kleine Geschichte des Klimas und des Klimawandels	Daniel											https://www.zeitsprung.fm/podcast/zs84/	Wir sprechen diesmal darüber, wie sich das Klima auf der Erde in den letzten 1.000 Jahren verändert hat. Dabei stehen zwei außergewöhnliche Phasen im Mittelpunkt: Die Mittelalterliche Klimaanomalie, eine Warmzeit, die von der Kleinen Eiszeit abgelöst wird, und die die Frühe Neuzeit durch kalte Winter und schlechte Ernten prägt. Es geht auch um die Frage, seit wann sich Menschen Gedanken darüber machen, wie sich das Klima verändert und ab wann das Verständnis von Klima entstanden ist, wie wir es heute kennen. 	Eiszeit,Kleine Eiszeit,Klima,Klimawandel,Mittelalterliche Warmzeit,Wetter	
85	 Ein Arm, ein Hai, ein Kriminalfall	Richard	1930	1930	20	20	Australia	AU					https://www.zeitsprung.fm/podcast/zs85/	Wir springen für diese Geschichte in die 1930er Jahre Australiens. Ein vor der Küste Sydneys gefangener Hai birgt ein Geheimnis, das einen der noch immer bekanntesten Kriminalfälle Australiens auslösen wird.	Australien,Hai,Mord	
86	 Sabbatai Zwi – Der falsche Messias	Daniel											https://www.zeitsprung.fm/podcast/zs86/	Diese Episode ist aus mehreren Gründen außergewöhnlich: Wir haben die Gelegenheit genutzt, um auf der re:publica zu podcasten. Allerdings mussten wir nach draußen in die Kälte, weil wir sonst keinen (zumindest einigermaßen) ruhigen Ort gefunden haben. Dafür ist aber wieder ein Gast dabei: Juna Grossmann, vielen als @IrgendwieJuna bekannt, hat uns eine Geschichte mitgebracht und uns nicht nur von einem falschen Messias erzählt, sondern auch, woher der Döner seinen Namen hat.		
87	 Die Einführung von Freigeld und das Wunder von Wörgl	Daniel	1930	1930	20	20							https://www.zeitsprung.fm/podcast/zs87/	Wir springen zurück in die 1930er Jahre und beschäftigen uns mit einem Währungsexperiment, das nationale und internationale Aufmerksamkeit erregte und das bald als Wunder von Wörgl bezeichnet wurde. Während der Wirtschaftskrise und der staatlichen Deflationspolitik versuchte der “Zufallsbürgermeister” Michael Unterguggenberger mit der Einführung von Freigeld/Schwundgeld nach Silvio Gesell, die wirtschaftliche und finanzielle Notlage zu bekämpfen.	Freigeld,Gesell,Schwundgeld,Unterguggenberger,Wörgl	
88	 Von der Tanzwut und ihrer (wahrscheinlichen) Ursache	Richard											https://www.zeitsprung.fm/podcast/zs88/	Wir springen in dieser Episode zurück ins Mittelalter und auch ein bisschen in die frühe Neuzeit. Über die Jahrhunderte hinweg berichten Quellen immer wieder von Menschengruppen, die über Tage, Wochen und Monate hinweg wie rasend tanzen, anscheinend ohne ersichtlichen Grund.		
89	 Seelenkonskription – die Anfänge der modernen Volkszählungen	Daniel	1753	1753	18	18							https://www.zeitsprung.fm/podcast/zs89/	Wir springen diesmal wieder in die Frühe Neuzeit und schauen uns die Anfänge eines staatlichen Großprojektes an: die Volkszählung. 1753/54 wurde in der Habsburger Monarchie begonnen, die Bevölkerung zu erfassen. Wir reden über die Gründe und darüber, was erfasst wurde und wie die Seelenkonskriptionen in der Habsburger Monarchie umgesetzt wurden. Ein Effekt ist dabei jedenfalls besonders bemerkenswert: die Einführung der Hausnummerierung.		
90	 Aufstieg und Fall des Roger Casement	Richard			19	19	Ireland	IE					https://www.zeitsprung.fm/podcast/zs90/	In dieser Episode springen wir zurück ans Ende des 19. Jahrhunderts und sprechen über Roger Casement, eine außergewöhnliche Figur, die maßgeblich am Erstarken der Menschenrechtsbewegung und später der irischen Freiheitsbewegung beteiligt war. Es geht um Kolonialismus, Nationalismus und schließlich ein verräterisches Tagebuch.	Afrika,Irland,Kolonialismus,Roger Casement,Südamerika	
91	 Jan van Eyck – Der König unter den Malern und die Erfindung des Gemäldes	Daniel	1430	1430	15	15	Netherlands	NL					https://www.zeitsprung.fm/podcast/zs91/	Wir springen in dieser Episode mal wieder in die Niederlande: Dort wird um 1430 das Gemälde (neu) erfunden und die Ölmalerei setzt sich durch. Nicht nur das: Künstler, wie Jan van Eyck, sorgen dafür, dass sich Kunst und ihr Selbstverständnis radikal ändert. 	Jan van Eyck,Kunst,Kunstgeschichte,Malerei,Niederlande,Renaissance	
92	 Die Geschichte der Typhoid Mary	Richard			20	20	USA	Unknown code					https://www.zeitsprung.fm/podcast/zs92/	Wir springen in dieser Episode ins frühe 20. Jahrhundert. Ort ist New York City, und Fokus unserer Geschichte sind die Köchin Mary Mallon und zahlreiche Typhuserkrankungen.	New York City,Typhoid Mary,Typhus,USA	
93	 Das Geheimnis des Lebens – Wie es zur Entdeckung der Doppelhelix kam	Daniel	1950	1950	20	20							https://www.zeitsprung.fm/podcast/zs93/	Wir springen in die 1950er Jahre und sprechen über eine der wichtigsten wissenschaftlichen Entdeckungen der Nachkriegszeit: James Watson und Francis Crick entwarfen als erste das Doppelhelixmodell der DNA.  Ein großer Schritt, dem Geheimnis des Lebens auf die Spur zu kommen, jedoch läuft ihre Forschung zunächst nicht ganz so erfolgreich. In dieser Folge werden wir von zwei Experten unterstützt, die uns die Geschichte erzählen: Helga Hofmann-Sieber und Timo Sieber. Die beiden haben nicht nur in Biologie promoviert, sondern sich auch mit Biologiegeschichte beschäftigt – in ihrem Buch “Wilde Gene. Vom verborgenen Leben in uns”. 		
94	 Wer zittert nicht vor den Mohocks?	Richard	1712	1712	18	18	England	Unknown code					https://www.zeitsprung.fm/podcast/zs94/	Wir springen in dieser Episode ins 18. Jahrhundert Englands und beleuchten eine kurze Phase im Frühjahr 1712, in der eine brutale Bande die Stadt London in Atem hielt.	Banden,England,Mohocks,Neuzeit	
95	 Der Aufstieg des Jakob Fugger	Daniel	1500	1500	16	16							https://www.zeitsprung.fm/podcast/zs95/	Wir springen in dieser Episode in die Zeit um 1500 und beschäftigen uns mit Jakob Fugger. Er hat auch den Beinamen „der Reiche“, und das nicht ganz zufällig. Es gibt Berechnungen nach denen er die vermögendste Privatperson der Geschichte war. Das Vermögen nutzte Jakob Fugger nicht nur, um die älteste Sozialsiedlung der Welt zu stiften – die auch heute noch existiert –, sondern vor allem auch für politische Einflussnahme. Gerade die Habsburger profitierten vom Geld der Fugger, das diese mit Handel, als Montanunternehmer und Bankiers verdienten.	Fugger,Habsburg,Kaiser,Karl V	
96	 Von der Entstehung des Croissants und anderen kulinarischen Mythen	Richard											https://www.zeitsprung.fm/podcast/zs96/	Wir springen in dieser Episode wie wild zwischen den Zeiten hin und her, was allerdings gleich bleibt, sind die Objekte unseres Gesprächs: Nahrungsmittel! Aber nicht irgendwelche Nahrungsmittel, sondern solche, um die sich Mythen der Entstehung ranken. Wir sprechen nämlich über kulinarische Mythologie, mit einigen wenigen Beispielen, so viele eben in 45 Minuten passen. Mit von der Partie: Marco Polo, das Croissant, nicht so verdorbenes Fleisch und die Brezel.	Croissant,Kulinarik,Marco Polo,Mythologie	
97	 Neutral-Moresnet – Ein Niemandsland mitten in Europa	Daniel					Netherlands, Belgium	NL, BE					https://www.zeitsprung.fm/podcast/zs97/	Wir beschäftigen uns diesmal mit einer geopolitischen Besonderheit: Neutral-Moresnet. Mehr als 100 Jahre lag zwischen Preußen und den Niederlanden bzw. Belgien ein 3,4 km² großes Niemandsland in Form eines Tortenstücks. Wir sprechen darüber, wie es zu dieser Mikronation kam und welche kuriosen Konsequenzen diese Grenzziehung hatte.	Belgien,Mikronation,Neutral-Moresnet,Niederlande,Preußen,Wiener Kongress,Zink	
98	 Über Schoßhunde und gierige Affen	Richard											https://www.zeitsprung.fm/podcast/zs98/	Wir springen diesmal hauptsächlich ins Mittelalter und sprechen über vermeintlich nutzlose aber dann doch ganz sinnvolle Wesen: Haustiere, und zwar die kleinen.	affen,hunde,katzen,Mittelalter,tiere	
99	 Ignaz Semmelweis und die Bekämpfung des Kindbettfiebers	Daniel	1847	1847	19	19							https://www.zeitsprung.fm/podcast/zs99/	Wir beschäftigen uns diesmal mit Medizingeschichte und springen in die Mitte des 19. Jahrhunderts. Ignaz Semmelweis entdeckt 1847 an der Wiener Geburtsklinik den Grund, warum so viele Frauen nach der Geburt an Kindbettfieber sterben. Als Pionier der Handdesinfektion und evidenzbasierten Medizin schlägt er vor, die Hände mit einer Chlorkalklösung zu waschen, statt weiterhin die Gänge zu räuchern (Miasmen!). 		
100	 Der Fall der „Mignonette“ und seine Folgen	Richard											https://www.zeitsprung.fm/podcast/zs100/	Und hier ist sie: Episode 100! Bevor wir in die Geschichte dieser Woche eintauchen, sprechen wir noch ein bisschen über die letzten 100 Wochen und warum wir das alles überhaupt so gern machen.	Kannibalismus,Mignonette	
